"","Type","LONGITUDE","LATITUDE"
"1","crash ",-87.914197073,41.953766077
"2","crash ",-87.905309125,41.976201139
"3","crash ",-87.905309125,41.976201139
"4","crash ",-87.905309125,41.976201139
"5","crash ",-87.905309125,41.976201139
"6","crash ",-87.905309125,41.976201139
"7","crash ",-87.905309125,41.976201139
"8","crash ",-87.905309125,41.976201139
"9","crash ",-87.905309125,41.976201139
"10","crash ",-87.905309125,41.976201139
"11","crash ",-87.905309125,41.976201139
"12","crash ",-87.905309125,41.976201139
"13","crash ",-87.905309125,41.976201139
"14","crash ",-87.905309125,41.976201139
"15","crash ",-87.905309125,41.976201139
"16","crash ",-87.905309125,41.976201139
"17","crash ",-87.905309125,41.976201139
"18","crash ",-87.905309125,41.976201139
"19","crash ",-87.905309125,41.976201139
"20","crash ",-87.905309125,41.976201139
"21","crash ",-87.905309125,41.976201139
"22","crash ",-87.905309125,41.976201139
"23","crash ",-87.905309125,41.976201139
"24","crash ",-87.905309125,41.976201139
"25","crash ",-87.905309125,41.976201139
"26","crash ",-87.905309125,41.976201139
"27","crash ",-87.905309125,41.976201139
"28","crash ",-87.905309125,41.976201139
"29","crash ",-87.905309125,41.976201139
"30","crash ",-87.905309125,41.976201139
"31","crash ",-87.905309125,41.976201139
"32","crash ",-87.905309125,41.976201139
"33","crash ",-87.884612889,41.99502233
"34","crash ",-87.884612889,41.99502233
"35","crash ",-87.884302135,41.994291653
"36","crash ",-87.884018034,41.957676645
"37","crash ",-87.884018034,41.957676645
"38","crash ",-87.879143484,41.981912891
"39","crash ",-87.877709553,41.973875952
"40","crash ",-87.87615604,41.974847772
"41","crash ",-87.875695425,41.982274999
"42","crash ",-87.864591411,41.973361601
"43","crash ",-87.848043653,41.987966376
"44","crash ",-87.847307922,41.987856972
"45","crash ",-87.846981487,41.966283898
"46","crash ",-87.846721756,41.963944682
"47","crash ",-87.846689039,41.968334511
"48","crash ",-87.846581431,41.981087262
"49","crash ",-87.846428316,41.966099038
"50","crash ",-87.846406435,41.974936207
"51","crash ",-87.846373415,41.97265568
"52","crash ",-87.846363731,41.987449192
"53","crash ",-87.846363731,41.987449192
"54","crash ",-87.84634773,41.974628005
"55","crash ",-87.84634773,41.974628005
"56","crash ",-87.846310495,41.981057158
"57","crash ",-87.846301419,41.97900968
"58","crash ",-87.846293349,41.979597349
"59","crash ",-87.846286554,41.982147995
"60","crash ",-87.846060422,41.987670688
"61","crash ",-87.845674416,41.981063197
"62","crash ",-87.845674416,41.981063197
"63","crash ",-87.845296321,41.987558683
"64","crash ",-87.845145618,41.937488575
"65","crash ",-87.845139356,41.973611674
"66","crash ",-87.845080149,41.987525582
"67","crash ",-87.845054465,41.973962253
"68","crash ",-87.845052789,41.974196779
"69","crash ",-87.844825999,41.976751136
"70","crash ",-87.844649281,41.952404792
"71","crash ",-87.844453969,41.980866681
"72","crash ",-87.844333564,41.976106253
"73","crash ",-87.844091078,41.975891609
"74","crash ",-87.84383666,41.97445272
"75","crash ",-87.843834508,41.974861841
"76","crash ",-87.843759985,41.966356597
"77","crash ",-87.843690706,41.976718822
"78","crash ",-87.843400226,41.976124501
"79","crash ",-87.842949973,41.976953102
"80","crash ",-87.842707726,41.973873284
"81","crash ",-87.842028033,41.973665476
"82","crash ",-87.841792177,41.96138812
"83","crash ",-87.841710253,41.979988316
"84","crash ",-87.841701118,41.974809959
"85","crash ",-87.841667906,41.976153471
"86","crash ",-87.841646994,41.97932662
"87","crash ",-87.84163973,41.980208431
"88","crash ",-87.84163973,41.980208431
"89","crash ",-87.84163973,41.980208431
"90","crash ",-87.84163973,41.980208431
"91","crash ",-87.841398701,41.975790184
"92","crash ",-87.841371566,41.980068178
"93","crash ",-87.841248791,41.979334177
