"","CAMERA.ID","LATITUDE","LONGITUDE","ViolationCount","CrashesCount"
"21","003",41.975605302,-87.731669795,115,69
"26","004",41.974332655,-87.728347022,124,303
"1","005",41.823188825,-87.677348795,124,140
"25","007",41.823563957,-87.684721126,124,500
"94","008",41.877070828,-87.718168316,118,139
"75","009",41.880938186,-87.717898449,122,234
"76","011",41.899325141,-87.704522346,119,445
"108","013",41.797703886,-87.606444779,124,909
"2","014",41.767731869,-87.702737907,120,94
"98","015",41.764390957,-87.70972842,124,228
"96","018",41.769276221,-87.703062595,121,232
"113","019",41.866364024,-87.699142966,120,66
"34","020",41.866585283,-87.698962375,124,160
"125","021",41.860407864,-87.698672099,124,475
"100","022",41.690701951,-87.664122385,48,253
"41","023",41.691025456,-87.66424769,57,211
"123","024",41.990281914,-87.708244626,117,363
"126","025",41.97588404,-87.704801123,124,321
"97","026",41.945574091,-87.688077853,35,240
"17","027",41.945962587,-87.688383964,35,47
"62","028",41.946607822,-87.69265244,35,247
"32","029",41.793492646,-87.61187597,124,333
"86","030",41.803264895,-87.723303509,22,407
"141","031",41.801401913,-87.723544598,33,123
"29","032",41.80293879,-87.722181792,35,97
"101","033",41.873849599,-87.627447875,58,955
"18","034",41.873824205,-87.627740759,57,1235
"109","035",41.721657133,-87.621462899,116,655
"132","036",41.721878498,-87.621354328,124,505
"40","039",41.923614583,-87.78247949,122,184
"3","040",41.923831699,-87.782642242,124,207
"110","041",41.923897472,-87.763905578,35,167
"129","042",41.924128491,-87.762993999,35,150
"95","043",41.918231266,-87.762337058,35,446
"60","044",41.92410633,-87.748022664,34,348
"99","045",41.663174059,-87.633520452,121,412
"19","048",41.691202396,-87.717211399,74,162
"92","049",41.955725645,-87.766938123,123,88
"144","050",41.953329545,-87.764267264,122,183
"53","051",42.000259511,-87.689802909,123,871
"35","055",41.962313789,-87.688564554,112,29
"83","056",41.96226556,-87.684566996,91,227
"7","057",41.87332924,-87.764460415,122,366
"46","058",41.877189405,-87.770369502,118,323
"10","059",41.794045046,-87.723036363,35,85
"61","060",41.794154584,-87.723333213,35,33
"89","061",41.793079668,-87.724956656,32,967
"36","062",41.793300512,-87.724790362,35,8
"16","063",41.75749704,-87.631833328,57,589
"74","066",41.74985294,-87.687983475,48,146
"81","067",41.750212593,-87.687421063,48,265
"73","070",41.793702249,-87.687244272,122,373
"122","071",41.75038453,-87.721794539,56,23
"134","072",41.750546198,-87.722092656,53,217
"33","073",41.749370908,-87.719104675,55,131
"124","074",41.749715177,-87.719598779,53,6
"133","075",41.884517408,-87.666748347,26,47
"104","076",41.884514197,-87.667042094,119,429
"13","077",41.883191521,-87.6641147,121,926
"135","078",41.961149383,-87.696964034,63,136
"85","079",41.953875265,-87.696204089,123,27
"72","080",41.954092657,-87.696596502,122,172
"118","083",41.953074826,-87.782825538,124,229
"9","086",41.938988391,-87.743121423,103,321
"140","087",41.939699007,-87.725074339,21,306
"44","088",41.939040256,-87.722645911,31,224
"23","089",41.939258231,-87.722781428,11,135
"56","090",41.926153343,-87.670938087,124,281
"102","091",41.926418831,-87.668042465,124,392
"67","092",41.926207903,-87.668328977,120,58
"28","093",41.988904472,-87.668455725,124,1042
"131","094",41.96242185,-87.688862275,121,149
"63","095",41.954540866,-87.658572521,124,730
"142","096",41.962596549,-87.655517675,91,231
"143","097",41.962880635,-87.65602445,71,288
"138","098",41.801012881,-87.686070605,17,72
"50","099",41.801235748,-87.685895779,28,48
"24","100",41.80217403,-87.684106558,35,37
"69","101",41.760005505,-87.576312983,122,520
"22","102",41.969247149,-87.764019451,124,236
"77","103",41.96785573,-87.763928644,124,102
"55","104",41.936950842,-87.785740891,19,108
"38","105",41.938181259,-87.787655485,25,22
"68","106",41.938377159,-87.789118713,25,240
"119","107",41.89522799,-87.727715334,33,246
