ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
2080 W PERSHING,CHI005,05/01/2018,14,1163048.143263149,1878842.85060012,41.823188825,-87.677348795,"(41.823188824691925, -87.67734879498818)"
7738 S WESTERN,CHI065,05/01/2018,22,,,,,
6909 S KEDZIE,CHI014,05/01/2018,30,1156276.17519456,1858582.894182457,41.767731869,-87.702737907,"(41.76773186901884, -87.70273790708362)"
6250 W FULLERTON,CHI040,05/01/2018,11,1134113.48240834,1915315.343641525,41.923831699,-87.782642242,"(41.92383169923362, -87.78264224184598)"
1110 S PULASKI RD,CHI163,05/01/2018,22,1149841.165943524,1894930.809093216,41.867602722,-87.725382743,"(41.86760272243294, -87.7253827433152)"
2335 W CERMAK RD,CHI110,05/01/2018,3,1160979.627413278,1889300.744309286,41.851929523,-87.684647663,"(41.85192952334165, -87.68464766256305)"
5532 S KEDZIE AVE,CHI164,05/01/2018,10,1155954.012564287,1867613.622315444,41.792519997,-87.703676403,"(41.79251999694851, -87.70367640326066)"
515 S CENTRAL AVE,CHI057,05/01/2018,1,1139183.475728338,1896944.581182828,41.87332924,-87.764460415,"(41.873329240103914, -87.76446041521123)"
4042 W NORTH AVE,CHI161,05/01/2018,8,1149005.647148129,1910365.150873238,41.909972425,-87.72805041,"(41.90997242450237, -87.72805040969816)"
4620 W BELMONT AVE,CHI086,05/01/2018,3,1144830.583591838,1920910.013194031,41.938988391,-87.743121423,"(41.938988390759555, -87.74312142256439)"
5433 S PULASKI,CHI059,05/01/2018,9,1150670.689050764,1868131.267079955,41.794045046,-87.723036363,"(41.79404504596532, -87.72303636259336)"
506 S CENTRAL AVE,CHI130,05/01/2018,8,1139100.738201602,1897035.93011447,41.873581418,-87.764761968,"(41.87358141810132, -87.7647619684764)"
4053 W NORTH AVE,CHI159,05/01/2018,5,1148866.623755592,1910281.53833667,41.909745674,-87.728563295,"(41.90974567444195, -87.72856329512945)"
115 N OGDEN,CHI077,05/01/2018,65,1166484.901862159,1900735.486524538,41.883191521,-87.6641147,"(41.883191521391076, -87.66411469955516)"
3542 E 95TH ST,CHI141,05/01/2018,8,1201629.279994198,1842674.179369794,41.72304462,-87.537040758,"(41.72304461975978, -87.5370407583455)"
14 W CHICAGO AVE,CHI139,05/01/2018,5,1176065.949659871,1905763.820506745,41.896779127,-87.628781249,"(41.89677912747405, -87.6287812485988)"
5520 S WESTERN,CHI069,05/01/2018,23,,,,,
7518 S VINCENNES,CHI063,05/01/2018,15,1175649.435042562,1855003.191694386,41.75749704,-87.631833328,"(41.75749703994495, -87.63183332832696)"
3534 N WESTERN,CHI027,05/01/2018,65,1159704.098937127,1923558.718079439,41.945962587,-87.688383964,"(41.9459625867886, -87.68838396394528)"
630 S STATE,CHI034,05/01/2018,49,1176418.004996675,1897401.384626672,41.873824205,-87.627740759,"(41.87382420497741, -87.62774075943143)"
3843 W 111TH,CHI048,05/01/2018,16,1152527.402615974,1830667.777755826,41.691202396,-87.717211399,"(41.69120239624487, -87.71721139909997)"
1635 N ASHLAND AVE,CHI112,05/01/2018,30,1165462.481130188,1911110.82578422,41.911684016,-87.66757343,"(41.91168401599584, -87.66757342998466)"
4124 W FOSTER AVE,CHI003,05/01/2018,100,1147852.58857067,1934274.994738347,41.975605302,-87.731669795,"(41.97560530194193, -87.73166979484374)"
5471 W HIGGINS,CHI102,05/01/2018,24,1139071.529638349,1931897.937514376,41.969247149,-87.764019451,"(41.96924714863934, -87.76401945149458)"
3810 W BELMONT AVE,CHI089,05/01/2018,4,1150363.864127394,1921047.10093015,41.939258231,-87.722781428,"(41.93925823071868, -87.72278142793657)"
5025 S WESTERN AVE,CHI100,05/01/2018,11,1161264.059630805,1871171.183488361,41.80217403,-87.684106558,"(41.802174029934044, -87.68410655772436)"
3843 S WESTERN,CHI007,05/01/2018,58,1161037.665305821,1878964.291316377,41.823563957,-87.684721126,"(41.82356395744577, -87.68472112618639)"
5120 N PULASKI,CHI004,05/01/2018,32,1148759.385878875,1933817.599837362,41.974332655,-87.728347022,"(41.97433265461055, -87.72834702238127)"
8345 S ASHLAND AVE,CHI168,05/01/2018,12,1167170.493634396,1849194.116924465,41.741741651,-87.663073329,"(41.741741651401504, -87.66307332925098)"
5885 N RIDGE AVE,CHI093,05/01/2018,23,1165004.033252215,1939248.352982784,41.988904472,-87.668455725,"(41.988904472466494, -87.66845572473223)"
